Station Vel_N(mm/yr) Vel_E(mm/yr) Vel_U(mm/yr) Dur_N Dur_E Dur_U Vel_N_midas(mm/yr) Vel_E_midas(mm/yr) Vel_U_midas(mm/yr) Latitude(deg) Longitude(deg) Height(m) diff_N(mm/yr) diff_E(mm/yr) diff_U(mm/yr)
BBAF 10.5 0.9 1.6 4.61 6.70 6.51 10.1 1.8 1.8 -45.983 -71.703 761.9 0.4 -0.9 -0.2
BBAY -8.9 -10.1 -1.5 5.08 5.08 5.10 -9.1 -10.0 -1.4 48.899 -122.769 -8.2 0.2 -0.1 -0.1
BBDH 56.3 21.6 -1.2 7.81 7.81 7.81 56.0 21.9 -0.9 -32.342 -213.346 399.3 0.3 -0.3 -0.3
BBDM 20.2 -41.7 0.3 24.94 17.97 14.28 20.2 -40.5 1.3 34.582 -119.982 204.9 -0.0 -1.2 -1.0
BBID -10.5 -16.5 -1.8 18.98 18.98 18.98 -10.5 -16.6 -1.6 44.185 -111.526 1789.9 -0.0 0.1 -0.2
BBOO 58.5 27.2 -0.5 16.07 16.07 16.06 58.5 27.3 -0.6 -32.810 -223.941 288.6 -0.0 -0.1 0.1
BBOR 15.1 19.1 1.1 11.56 11.56 5.83 15.0 19.5 0.6 53.898 -343.151 215.9 0.1 -0.4 0.5
BBRY 3.4 -23.5 1.3 12.51 26.50 10.12 4.4 -23.6 1.0 34.264 -116.884 2051.1 -1.0 0.1 0.3
BBYS 14.5 21.3 0.1 9.95 13.41 7.69 14.6 21.4 -0.2 48.752 -340.849 487.4 -0.1 -0.1 0.3
BCAB -9.7 -10.7 -2.0 7.18 7.20 8.92 -9.7 -10.1 -0.5 49.052 -122.330 72.7 0.0 -0.6 -1.5
BCAR 11.8 -2.4 0.4 16.13 8.25 14.52 11.5 -3.0 0.6 -37.761 -58.301 150.4 0.3 0.6 -0.2
BCBU -8.9 -10.0 1.5 8.94 8.94 8.94 -9.1 -9.9 1.3 49.251 -123.000 13.0 0.2 -0.1 0.2
BCC1 3.8 -14.4 -0.8 12.49 12.49 12.49 3.9 -14.6 -1.1 38.859 -77.382 117.2 -0.1 0.2 0.3
BCC2 3.5 -15.0 -1.9 11.56 11.56 11.56 3.6 -15.0 -1.8 39.166 -78.174 188.6 -0.1 0.0 -0.1
BCCG -10.5 -13.7 1.4 16.62 15.60 16.62 -10.3 -13.8 1.7 49.312 -117.653 443.7 -0.2 0.1 -0.3
BCCH -10.9 -11.3 -3.0 11.32 8.89 7.20 -10.9 -11.7 -3.8 49.147 -122.003 -0.5 -0.0 0.4 0.8
BCCQ -8.7 -9.7 -0.7 8.94 7.23 5.48 -8.9 -9.9 -0.2 49.279 -122.791 14.2 0.2 0.2 -0.5
BCCR -8.7 -10.1 5.4 6.61 6.61 6.61 -8.5 -9.9 4.8 50.024 -125.244 -0.6 -0.2 -0.2 0.6
BCCY -7.7 -8.9 4.8 6.91 6.91 6.91 -7.9 -8.6 4.4 49.700 -124.984 -0.9 0.2 -0.3 0.4
BCDI -12.2 -15.3 2.2 10.40 10.40 10.40 -12.1 -15.4 2.9 52.158 -128.110 22.3 -0.1 0.1 -0.7
BCDL -13.4 -13.6 2.5 7.03 7.03 7.03 -13.1 -13.4 1.9 58.426 -130.026 802.1 -0.3 -0.2 0.6
BCDT -8.5 -9.4 -0.1 5.07 5.07 5.07 -8.5 -9.8 0.5 49.032 -123.069 -7.4 -0.0 0.4 -0.6
BCES -8.5 -8.8 0.2 16.23 7.07 12.80 -8.4 -8.1 0.4 48.429 -123.429 21.2 -0.1 -0.7 -0.2
BCFJ -13.0 -15.6 2.5 8.79 8.97 8.97 -12.6 -15.5 3.3 56.246 -120.749 677.2 -0.4 -0.1 -0.8
BCFN -13.4 -15.6 3.3 12.84 11.61 12.84 -13.2 -15.4 3.5 58.840 -122.585 368.0 -0.2 -0.2 -0.2
BCH1 9.8 1.3 1.7 9.42 9.41 9.41 10.0 1.7 1.3 -41.147 -71.299 886.4 -0.2 -0.4 0.4
BCHO -9.7 -11.8 1.4 8.79 8.79 8.79 -9.8 -11.8 1.2 49.379 -121.441 33.4 0.1 0.0 0.2
BCIN -10.5 -13.5 2.6 10.92 10.92 9.30 -10.6 -13.7 1.2 50.509 -116.029 829.4 0.1 0.2 1.4
BCKW -10.4 -14.4 0.2 4.66 4.65 4.64 -10.4 -13.7 -2.1 49.885 -119.495 354.7 0.0 -0.7 2.3
BCL1 15.7 20.4 -0.9 9.70 9.70 9.70 15.7 20.5 -1.1 41.342 -357.834 56.1 0.0 -0.1 0.2
BCLC -9.5 -10.4 1.8 16.64 16.64 8.50 -9.8 -10.6 0.2 49.104 -122.657 3.7 0.3 0.2 1.6
BCLI -8.8 -9.0 -1.2 16.64 16.64 13.45 -8.7 -9.2 -1.6 49.115 -123.147 -4.9 -0.1 0.2 0.4
BCLN 16.2 20.0 -0.7 13.54 13.54 13.54 16.2 20.0 -1.1 41.405 -357.996 84.8 0.0 -0.0 0.4
BCMR -10.1 -10.5 -0.9 16.64 16.64 15.35 -10.1 -10.7 -1.1 49.221 -122.539 73.5 0.0 0.2 0.2
BCMT 53.7 21.8 -1.2 4.98 8.35 4.97 53.1 21.8 0.4 -28.125 -206.806 586.7 0.6 0.0 -1.6
BCNA -9.6 -9.5 3.7 4.88 6.15 5.17 -7.8 -10.0 2.3 49.184 -123.953 44.4 -1.8 0.5 1.4
BCNN -9.2 -9.7 3.2 7.37 8.88 5.45 -7.7 -9.1 1.9 49.184 -123.953 44.4 -1.5 -0.6 1.3
BCNS -8.1 -7.9 0.6 16.48 12.80 12.84 -8.1 -8.1 0.6 48.648 -123.451 3.7 0.0 0.2 0.0
BCOV -9.4 -11.4 3.0 12.86 24.81 22.27 -9.6 -11.7 2.5 50.544 -126.843 37.4 0.2 0.3 0.5
BCPG -12.5 -15.5 2.3 16.64 16.63 16.64 -12.4 -15.4 2.4 53.908 -122.796 601.7 -0.1 -0.1 -0.1
BCPH -11.4 -11.6 3.1 16.64 16.64 16.64 -10.8 -12.0 3.3 50.686 -127.375 1.4 -0.6 0.4 -0.2
BCPI -10.2 -13.6 0.9 6.47 6.46 6.47 -10.1 -13.5 0.3 49.499 -119.592 345.1 -0.1 -0.1 0.6
BCPN -12.0 -15.7 4.0 5.19 5.19 5.19 -12.4 -15.8 3.4 53.908 -122.796 601.7 0.4 0.1 0.6
BCPR -15.6 -14.5 3.0 4.91 7.89 11.76 -13.5 -14.3 1.4 54.277 -130.435 29.0 -2.1 -0.2 1.6
BCPT -12.1 -14.2 1.4 8.94 8.94 8.94 -12.2 -14.1 1.2 54.313 -130.326 44.5 0.1 -0.1 0.2
BCRK -15.6 -10.2 1.7 14.65 14.65 11.38 -15.2 -10.1 1.3 62.414 -140.860 719.5 -0.4 -0.1 0.4
BCSA -10.9 -14.5 0.9 8.94 7.16 8.94 -11.1 -14.3 0.8 50.700 -119.279 354.0 0.2 -0.2 0.1
BCSC -8.8 -8.9 2.7 7.47 7.46 8.94 -8.6 -8.9 2.9 49.472 -123.763 6.2 -0.2 0.0 -0.2
BCSF -9.4 -9.8 -0.0 16.64 16.64 15.35 -9.3 -9.9 0.1 49.192 -122.860 83.5 -0.1 0.1 -0.1
BCSL -10.7 -13.3 0.1 15.70 15.70 15.70 -10.1 -13.3 0.2 49.565 -119.644 428.8 -0.6 0.0 -0.1
BCSM -8.0 -6.2 0.6 8.85 9.42 12.79 -8.0 -6.9 1.2 48.559 -123.800 932.7 0.0 0.7 -0.6
BCSQ -9.5 -10.6 3.2 6.62 6.62 6.57 -9.4 -10.3 2.5 49.699 -123.154 -5.9 -0.1 -0.3 0.7
BCSS -11.0 -17.8 -1.3 8.52 9.30 12.72 -11.5 -17.6 -1.4 53.254 -131.807 -0.9 0.5 -0.2 0.1
BCSW -10.3 -14.4 1.6 5.97 5.97 5.97 -10.3 -14.2 1.1 49.733 -114.886 1133.0 -0.0 -0.2 0.5
BCTE -14.4 -13.8 8.0 7.95 7.95 7.33 -14.7 -14.6 6.4 54.515 -128.627 61.3 0.3 0.8 1.6
BCVC -9.4 -9.5 -0.1 16.64 13.83 15.35 -9.3 -9.6 -0.1 49.276 -123.089 11.2 -0.1 0.1 -0.0
BCVI -7.7 -8.0 1.0 8.80 8.80 8.80 -7.8 -8.2 0.9 48.481 -123.392 15.2 0.1 0.2 0.1
BCVR -10.7 -13.1 2.4 8.94 7.17 7.16 -10.4 -13.0 1.7 50.241 -119.231 448.5 -0.3 -0.1 0.7
BCWA -11.7 -15.0 2.8 16.63 16.63 10.35 -11.5 -14.6 2.1 52.187 -122.064 927.1 -0.2 -0.4 0.7
BCWR 10.3 -33.7 0.1 15.85 15.85 15.85 10.2 -33.8 0.9 34.920 -119.406 1332.9 0.1 0.1 -0.8
BCWS -9.1 -11.6 5.5 8.94 8.94 8.94 -9.9 -11.3 5.5 50.131 -122.955 639.1 0.8 -0.3 -0.0
BCYI -9.7 -15.3 -0.5 15.44 15.44 15.44 -9.7 -15.4 -0.9 44.316 -113.406 2173.4 -0.0 0.1 0.4
BDCK 10.1 -15.8 -1.9 10.99 10.99 10.99 10.0 -15.9 -1.9 46.113 -60.775 30.0 0.1 0.1 -0.0
BDFD 4.4 -16.1 0.1 7.74 12.13 12.12 4.3 -15.6 1.5 45.126 -72.984 38.2 0.1 -0.5 -1.4
BDFV 4.4 -16.3 2.7 11.96 11.96 10.21 4.7 -16.2 1.7 46.138 -72.722 -15.4 -0.3 -0.1 1.0
BDLE 55.5 17.4 -0.4 11.41 12.39 12.39 55.7 17.2 -0.6 -37.759 -212.344 125.9 -0.2 0.2 0.2
BDMR 54.8 25.1 -0.2 6.30 6.27 6.34 54.5 24.9 -2.6 -25.510 -210.478 295.5 0.3 0.2 2.4
BDMT 16.9 22.0 -0.6 5.00 5.02 4.73 17.2 22.8 -0.2 11.600 -322.640 1793.4 -0.3 -0.8 -0.4
BDOS 15.1 13.9 -1.5 9.50 9.50 9.50 14.7 12.1 -0.7 13.088 -59.609 -38.6 0.4 1.8 -0.8
BDRL 14.1 23.9 -1.6 6.25 5.20 4.52 13.1 23.7 -3.5 -12.911 -314.807 -4.3 1.0 0.2 1.9
BDRM 54.4 22.4 -1.0 5.03 8.42 5.03 53.8 22.3 -0.0 -26.685 -206.931 182.2 0.6 0.1 -1.0
BDRY -10.2 -13.7 0.2 19.68 19.68 14.41 -9.9 -13.9 0.1 48.987 -117.350 601.8 -0.3 0.2 0.1
BDSP -9.3 -15.6 -0.7 9.33 9.33 9.32 -9.2 -15.4 -0.6 37.518 -114.080 1557.8 -0.1 -0.2 -0.1
BDST 53.8 21.4 -0.7 16.47 16.50 7.76 53.8 21.2 -0.3 -27.987 -207.005 101.0 0.0 0.2 -0.4
BDVL 58.4 28.8 -0.3 12.50 12.50 12.50 58.3 28.6 -0.9 -25.900 -220.652 69.1 0.1 0.2 0.6
BEA2 -14.5 -7.7 1.0 8.01 8.01 8.01 -14.0 -7.8 0.2 62.408 -140.863 662.4 -0.5 0.1 0.8
BEAN 11.2 10.5 4.6 11.35 11.35 11.35 11.2 10.6 5.1 -75.956 -69.302 892.4 -0.0 -0.1 -0.5
BEAT -8.8 -15.9 -0.7 11.60 11.60 11.60 -8.8 -15.8 -0.5 37.040 -116.621 1396.1 0.0 -0.1 -0.2
BEAU 16.1 17.7 -0.3 7.80 14.53 7.80 15.9 17.8 -1.0 49.430 -357.918 128.9 0.2 -0.1 0.7
BEAV 16.3 18.3 -0.7 11.51 11.51 11.51 16.2 18.2 -0.9 49.446 -357.897 147.2 0.1 0.1 0.2
BEC1 17.8 20.4 -1.1 13.28 13.28 12.75 17.8 20.5 -1.2 42.856 -7.158 662.0 -0.0 -0.1 0.1
BEC4 2.5 -15.4 -1.5 14.73 14.73 14.73 2.6 -15.3 -1.7 40.246 -79.551 305.0 -0.1 -0.1 0.2
BECA 4.6 -16.4 2.5 11.14 11.14 11.14 4.5 -16.5 2.7 46.348 -72.435 -14.5 0.1 0.1 -0.2
BEDA -0.3 -16.2 -3.3 16.21 16.21 9.34 -0.4 -16.2 -3.1 43.444 -88.846 226.5 0.1 0.0 -0.2
BEDF 8.7 -15.6 -1.2 8.54 8.54 7.69 8.8 -15.8 -0.7 44.684 -63.611 3.1 -0.1 0.2 -0.5
BEDU 15.6 18.3 -3.4 6.81 6.81 6.81 15.5 18.1 -3.1 53.300 -353.434 43.2 0.1 0.2 -0.3
BEE1 15.6 17.6 -0.4 6.43 6.43 6.43 15.5 17.5 -0.2 53.162 -352.904 43.3 0.1 0.1 -0.2
BEE2 53.3 21.7 -2.6 9.60 9.83 9.42 53.8 22.0 -2.1 -27.720 -206.797 54.7 -0.5 -0.3 -0.5
BEEC 56.2 19.1 -1.0 10.82 12.16 12.16 56.1 19.1 -1.0 -36.346 -213.342 442.9 0.1 -0.0 0.0
BEG1 54.9 16.9 -0.8 14.30 14.30 14.30 54.9 16.8 -0.7 -36.676 -210.158 52.6 0.0 0.1 -0.1
BEGA 15.8 21.1 -0.7 10.31 10.31 5.62 15.9 21.1 -0.8 47.634 -346.999 669.1 -0.1 0.0 0.1
BEIL 16.4 17.6 -0.9 19.50 22.78 17.87 16.3 17.8 -0.8 52.860 -353.485 71.4 0.1 -0.2 -0.1
BEIU 13.3 21.9 -0.8 8.24 8.24 8.24 13.1 22.3 -1.1 46.669 -337.649 244.5 0.2 -0.4 0.3
BEJA 15.6 4.1 0.1 6.02 6.02 6.02 15.5 4.7 -1.5 7.061 -73.876 93.5 0.1 -0.6 1.6
BEJR 17.7 18.2 -3.1 7.26 7.76 7.76 17.8 18.3 -3.4 40.396 -5.748 1095.1 -0.1 -0.1 0.3
BEJ_ 17.2 17.9 -1.8 17.96 17.96 11.32 17.1 17.9 -0.9 38.013 -7.873 305.9 0.1 -0.0 -0.9
BEL1 -0.2 -16.1 -0.6 6.80 6.80 6.80 -0.2 -16.0 -0.7 42.500 -88.998 208.7 -0.0 -0.1 0.1
BEL4 16.1 21.7 3.5 10.53 10.53 10.53 15.9 21.8 2.8 51.240 -340.794 238.2 0.2 -0.1 0.7
BEL6 3.2 -16.3 0.1 11.67 11.69 11.69 3.4 -16.3 0.5 44.155 -77.430 77.2 -0.2 -0.0 -0.4
BEL9 11.6 23.5 -0.6 9.94 9.51 9.94 11.5 23.6 -1.1 50.640 -323.428 241.0 0.1 -0.1 0.5
BELE 12.8 -4.6 -1.3 21.66 21.66 17.36 12.6 -4.6 -0.7 -1.409 -48.463 9.1 0.2 0.0 -0.6
BELF 16.6 14.2 0.8 11.85 6.95 11.85 16.6 14.6 0.3 54.577 -5.932 82.0 -0.0 -0.4 0.5
BELG 11.7 3.9 0.8 4.47 4.47 4.49 12.0 4.4 0.7 -77.875 -34.627 245.9 -0.3 -0.5 0.1
BELI -9.4 -9.8 -0.9 18.28 18.33 18.27 -9.4 -10.0 -0.2 48.755 -122.479 10.6 0.0 0.2 -0.7
BELL 16.2 19.8 -0.3 26.63 26.63 13.14 16.1 19.8 -0.3 41.600 -358.599 853.4 0.1 0.0 0.0
BELS 14.5 20.7 -0.1 8.19 9.49 9.49 14.6 20.6 -0.4 51.835 -339.208 221.8 -0.1 0.1 0.3
BELT 35.6 37.0 -3.6 4.46 4.46 4.46 35.3 37.2 -2.7 27.457 -276.174 54.2 0.3 -0.2 -0.9
BEMT -5.5 -17.3 -0.0 9.98 23.78 23.79 -4.9 -17.4 0.2 34.001 -115.998 1373.6 -0.6 0.1 -0.2
BENB 17.0 13.2 -0.4 12.16 10.17 18.35 16.9 13.3 -0.2 57.473 -7.364 67.2 0.1 -0.1 -0.2
BEND -8.2 -13.0 -1.1 16.95 19.80 19.80 -8.1 -13.0 -1.4 44.057 -121.315 1095.8 -0.1 0.0 0.3
BENE 17.5 22.3 1.0 7.61 7.61 7.61 17.6 22.5 0.2 41.121 -345.222 183.4 -0.1 -0.2 0.8
BENI 18.4 14.8 2.7 18.57 12.36 8.21 18.5 16.2 3.5 -26.195 -331.659 1670.2 -0.1 -1.4 -0.8
BENN 0.7 15.8 9.1 14.71 14.71 13.00 0.8 15.8 9.5 -84.786 -116.460 1416.4 -0.1 -0.0 -0.4
BEPA 10.7 -2.9 -4.4 8.98 4.76 4.17 11.1 -3.2 -2.3 -1.461 -48.441 -17.8 -0.4 0.3 -2.1
BEPK -0.6 -21.4 0.3 10.52 18.84 18.56 -0.4 -21.6 0.7 35.878 -118.074 2471.1 -0.2 0.2 -0.4
BER1 14.1 4.2 0.4 9.41 9.41 9.41 14.3 4.2 0.7 6.493 -74.410 159.1 -0.2 0.0 -0.3
BER2 13.7 22.6 -0.0 6.89 8.09 8.17 14.1 22.5 -0.5 40.708 -340.055 269.2 -0.4 0.1 0.5
BER3 15.4 19.1 0.1 14.37 14.38 14.38 15.3 19.2 -0.0 52.489 -346.688 108.4 0.1 -0.1 0.1
BER4 16.1 18.1 0.8 22.30 14.78 10.40 16.0 18.0 0.0 50.862 -355.388 101.0 0.1 0.1 0.8
BER5 57.7 23.9 -1.2 5.37 5.37 5.37 57.7 23.9 -0.7 -34.285 -219.398 37.6 -0.0 -0.0 -0.5
BERA 14.1 22.4 -0.9 5.37 5.37 5.37 14.1 22.6 -0.4 40.703 -340.044 105.9 -0.0 -0.2 -0.5
BERG 16.2 19.8 0.3 12.63 13.36 13.36 16.5 20.6 -0.6 40.612 -0.097 892.8 -0.3 -0.8 0.9
BERH 15.8 13.9 1.2 6.43 6.43 6.43 15.8 13.9 1.0 60.398 -354.681 53.8 0.0 0.0 0.2
BERL 15.0 18.2 -0.1 14.10 21.08 21.08 15.1 18.2 -0.5 50.701 -354.813 185.6 -0.1 0.0 0.4
BERM 54.8 16.4 -1.9 8.12 8.12 8.12 54.7 16.5 -1.7 -36.431 -209.924 23.2 0.1 -0.1 -0.2
BERP 11.5 18.1 26.9 14.63 14.63 11.10 12.5 18.3 26.1 -74.546 -111.885 313.3 -1.0 -0.2 0.8
BERT 1.2 -15.2 -3.4 7.43 7.43 7.43 1.3 -15.3 -3.3 40.757 -85.141 224.9 -0.1 0.1 -0.1
BESI 30.5 36.8 -0.5 4.70 4.70 4.70 30.1 35.5 1.4 28.229 -275.620 738.0 0.4 1.3 -1.9
BET1 -23.2 -4.3 -0.4 8.73 13.35 17.39 -24.5 -3.8 -0.6 60.788 -161.842 51.7 1.3 -0.5 0.2
BETH 18.2 16.7 0.0 17.69 23.61 18.72 18.2 16.8 -0.3 -28.250 -331.666 1722.7 0.0 -0.1 0.3
BEUA 57.3 21.6 -0.0 7.38 12.64 6.88 57.5 21.7 -0.7 -35.940 -217.585 97.2 -0.2 -0.1 0.7
BEUD 16.4 19.6 -0.3 11.90 11.83 7.18 16.5 20.0 -1.2 42.256 -357.324 879.7 -0.1 -0.4 0.9
BEUG 16.8 17.9 0.2 6.51 6.51 6.51 16.3 17.9 -1.1 50.130 -357.123 164.1 0.5 -0.0 1.3
BEVA 17.4 20.8 -1.5 17.60 17.60 10.19 17.6 20.9 -2.0 45.672 -346.931 50.1 -0.2 -0.1 0.5
BEVE 15.8 21.2 -0.8 15.72 15.72 15.72 15.8 21.2 -0.6 44.194 -350.231 144.7 -0.0 -0.0 -0.2
BEYS 9.3 8.6 -0.8 6.79 6.79 6.79 9.2 8.2 -0.4 37.677 -328.253 1187.5 0.1 0.4 -0.4
BEZA 16.0 17.4 -1.5 14.50 14.50 14.48 15.9 17.5 -1.6 51.307 -355.684 66.0 0.1 -0.1 0.1
BEZD 15.0 20.5 0.3 6.70 6.70 6.70 14.9 20.4 0.2 50.509 -343.771 539.5 0.1 0.1 0.1
BFD2 15.8 19.4 -0.5 8.05 8.06 8.05 15.8 19.3 -0.6 49.561 -351.034 509.8 0.0 0.1 0.1
BFG5 15.6 18.9 1.1 10.37 7.01 12.11 15.6 19.1 1.1 50.353 -352.402 139.6 -0.0 -0.2 -0.0
BFIR -9.4 -9.7 -2.1 12.51 12.51 12.51 -8.9 -9.5 -1.9 47.617 -122.125 121.7 -0.5 -0.2 -0.2
BFLD 0.8 -26.7 -6.4 9.66 6.02 9.25 1.0 -26.1 -5.8 35.413 -119.045 108.3 -0.2 -0.6 -0.6
BFNY 2.9 -16.1 -0.7 23.09 23.09 23.09 2.7 -16.2 -0.5 42.878 -78.890 145.5 0.2 0.1 -0.2
BFO1 15.8 19.6 0.0 18.78 18.78 10.80 15.9 19.9 0.2 48.331 -351.675 690.3 -0.1 -0.3 -0.2
BFRK -3.0 -17.5 -1.8 13.45 13.45 13.45 -3.1 -17.6 -2.4 47.735 -93.650 386.2 0.1 0.1 0.6
BFTA 18.4 17.1 -0.2 11.58 11.58 11.43 18.4 17.2 0.2 -29.111 -333.795 1441.3 -0.0 -0.1 -0.4
BFTN 17.6 16.7 -1.1 8.20 10.75 6.72 17.7 16.9 2.5 -29.104 -333.702 1380.6 -0.1 -0.2 -3.6
BGBC 16.5 17.3 -2.0 5.99 5.99 5.99 16.4 17.1 -2.2 48.481 -4.497 124.5 0.1 0.2 0.2
BGDR 17.8 21.7 1.1 13.10 13.10 13.10 17.3 21.6 1.3 43.889 -348.105 741.0 0.5 0.1 -0.2
BGGR -8.4 -16.0 -2.0 9.66 6.35 9.57 -8.4 -16.2 -1.8 51.947 -107.968 639.9 -0.0 0.2 -0.2
BGGY 15.9 10.8 0.0 11.49 11.49 5.81 15.6 10.4 0.1 17.045 -61.861 356.3 0.3 0.4 -0.1
BGI1 4.7 -15.2 -2.0 14.73 14.73 14.73 5.0 -15.0 -2.0 41.656 -72.732 4.9 -0.3 -0.2 -0.0
BGIS 15.6 -38.6 -0.9 12.88 21.22 12.54 15.7 -38.6 -2.0 33.967 -118.160 2.8 -0.1 -0.0 1.1
BGL2 -4.2 -17.2 -3.6 12.17 10.15 12.17 -4.0 -17.1 -3.2 47.532 -95.348 427.1 -0.2 -0.1 -0.4
BGOH 1.6 -15.9 -2.3 16.66 16.66 7.00 1.7 -16.0 -1.7 41.380 -83.643 210.6 -0.1 0.1 -0.6
BHAO -9.9 29.5 -0.5 17.03 10.92 14.00 -10.6 29.0 -0.7 36.164 -231.024 1133.2 0.7 0.5 0.2
BHR3 30.0 31.6 0.1 9.75 9.75 9.75 30.0 31.4 0.2 26.209 -309.392 -13.9 -0.0 0.2 -0.1
BHR4 30.1 31.5 -0.1 9.75 9.75 9.75 30.2 31.5 -0.2 26.209 -309.392 -13.9 -0.1 -0.0 0.1
BHST 33.2 -1.9 -0.3 15.11 10.07 17.19 32.6 -1.1 0.4 -39.489 -183.937 882.5 0.6 -0.8 -0.7
BHT2 54.1 17.5 -1.9 5.95 5.95 5.95 54.6 18.0 -0.2 -34.564 -209.142 45.1 -0.5 -0.5 -1.7
BIA1 14.4 21.1 -0.3 12.24 12.24 12.24 14.4 21.1 -0.7 51.651 -339.049 161.6 0.0 0.0 0.4
BIAL 13.8 20.6 0.3 17.58 17.58 17.58 13.8 20.8 -0.4 53.132 -336.861 191.4 -0.0 -0.2 0.7
BIAX 16.5 16.5 -0.9 7.59 7.59 7.59 16.3 16.3 -1.1 52.448 -1.750 170.2 0.2 0.2 0.2
BIAZ 16.8 19.2 -0.9 15.69 17.76 17.83 16.5 19.4 -1.1 43.472 -1.537 121.4 0.3 -0.2 0.2
BICA 13.0 21.5 -1.1 9.02 12.15 12.15 13.1 22.1 -1.9 46.824 -334.149 725.4 -0.1 -0.6 0.8
BIDA 16.8 19.2 -1.7 9.59 9.59 9.59 16.6 19.1 -1.1 43.336 -1.798 108.4 0.2 0.1 -0.6
BIE0 14.1 21.6 -0.3 7.13 10.24 6.58 14.0 21.7 -0.1 52.751 -336.813 178.0 0.1 -0.1 -0.2
BIE1 15.2 20.7 0.6 10.88 10.87 10.88 15.1 20.6 0.2 50.671 -343.394 404.4 0.1 0.1 0.4
BIEC 9.6 -3.3 -7.6 7.77 7.66 9.05 10.4 -4.5 -1.9 -1.447 -78.502 2381.2 -0.8 1.2 -5.7
BIEL 15.6 19.7 0.8 20.13 20.13 20.13 15.7 20.0 0.2 45.561 -351.952 480.5 -0.1 -0.3 0.6
BIER 16.0 17.4 -4.6 7.27 7.27 7.27 16.0 17.4 -4.2 53.374 -353.113 44.1 0.0 -0.0 -0.4
BIGD -10.9 -12.8 -1.0 19.08 6.99 19.07 -9.9 -13.2 -0.3 47.933 -118.989 493.3 -1.0 0.4 -0.7
BIGR 0.3 -16.2 -1.7 21.17 16.24 21.17 0.5 -16.3 -1.8 43.679 -85.488 284.5 -0.2 0.1 0.1
BIJA 15.8 11.4 -0.6 5.80 12.07 15.23 13.7 10.7 -1.5 9.750 -84.577 555.6 2.1 0.7 0.9
BIK0 3.7 27.6 0.7 14.86 11.36 10.49 3.8 27.7 0.6 42.854 -285.467 744.9 -0.1 -0.1 0.1
BIL1 14.4 22.0 -0.1 5.94 5.94 5.94 14.2 22.0 -0.3 50.531 -337.280 241.8 0.2 0.0 0.2
BIL5 -8.1 -15.4 -2.4 9.72 15.94 9.78 -8.1 -15.3 -2.4 45.971 -107.996 873.8 0.0 -0.1 0.0
BIL6 -7.4 -14.8 -3.2 14.05 14.08 9.69 -7.9 -14.8 -3.2 45.971 -107.997 874.6 0.5 -0.0 0.0
BILB -20.8 7.6 1.7 5.93 5.65 6.63 -20.8 7.8 0.7 68.065 -193.547 315.8 0.0 -0.2 1.0
BILE 9.2 2.0 -0.8 6.79 6.79 6.79 9.3 2.1 -1.0 40.141 -330.023 584.3 -0.1 -0.1 0.2
BILG 14.2 21.3 -0.1 17.33 17.33 8.47 14.2 21.4 0.2 50.532 -337.281 243.0 0.0 -0.1 -0.3
BILI -20.9 8.6 -0.3 9.27 8.90 9.27 -20.6 8.7 -0.6 68.076 -193.562 456.1 -0.3 -0.1 0.3
BILL 14.4 -36.1 -1.1 14.43 26.66 8.45 14.5 -35.7 0.0 33.578 -117.065 470.0 -0.1 -0.4 -1.1
BILS -2.2 0.1 0.1 13.78 13.78 13.78 -2.6 -0.2 0.0 47.539 -124.253 38.4 0.4 0.3 0.1
BIM0 15.6 12.7 -0.6 6.37 6.37 6.37 15.7 13.1 1.3 14.518 -61.067 389.7 -0.1 -0.4 -1.9
BIMO -1.0 -2.9 -1.7 8.86 8.84 10.36 -1.0 -5.0 -2.2 22.533 -239.033 48.1 0.0 2.1 0.5
BIN1 -9.9 26.8 -1.7 11.01 11.01 11.01 -10.1 26.4 -1.7 3.240 -246.906 59.0 0.2 0.4 -0.0
BIN2 22.4 15.6 -0.3 6.79 5.56 6.79 22.3 15.6 -1.2 38.885 -319.499 1183.6 0.1 0.0 0.9
BINE 16.0 19.7 -0.3 13.00 14.38 14.38 16.3 19.6 -0.4 41.848 -359.704 346.9 -0.3 0.1 0.1
BING 54.3 19.2 -0.8 10.38 10.38 10.38 54.3 19.2 -0.9 -32.412 -208.348 486.8 0.0 -0.0 0.1
BIOG 18.8 23.0 0.6 9.81 9.81 9.81 18.8 22.8 1.0 41.200 -344.867 677.0 -0.0 0.2 -0.4
BIOK 14.0 21.1 0.1 8.81 8.77 6.86 14.1 21.0 -0.2 53.150 -336.797 189.9 -0.1 0.1 0.3
BIOR 11.8 17.2 -1.5 10.26 10.19 14.03 10.7 16.5 -1.5 -60.740 -44.741 121.2 1.1 0.7 -0.0
BIPO 14.1 21.4 0.3 10.38 10.38 10.38 14.1 21.3 0.0 52.024 -336.842 186.9 -0.0 0.1 0.3
BIRC 53.4 22.4 -2.3 5.36 4.64 5.96 55.6 23.5 -3.0 -35.985 -217.087 117.2 -2.2 -1.1 0.7
BIRF 30.1 -26.3 -4.5 8.64 20.59 10.77 29.7 -26.9 -4.3 -40.680 -183.754 308.9 0.4 0.6 -0.2
BIRG 18.6 21.5 -0.2 5.81 5.81 5.81 18.2 20.9 -0.8 37.906 -347.494 57.1 0.4 0.6 0.6
