Station Vel_N(mm/yr) Vel_E(mm/yr) Vel_U(mm/yr) Dur_N Dur_E Dur_U Vel_N_midas(mm/yr) Vel_E_midas(mm/yr) Vel_U_midas(mm/yr) Latitude(deg) Longitude(deg) Height(m) diff_N(mm/yr) diff_E(mm/yr) diff_U(mm/yr)
0BLI 13.8 18.7 6.2 12.50 12.50 12.50 13.7 18.8 6.1 59.627 -341.100 39.3 0.1 -0.1 0.1
0BMO 15.0 15.9 8.7 5.12 5.12 5.12 15.0 15.8 8.4 63.922 -343.665 257.0 0.0 0.1 0.3
0BOD 14.3 18.5 2.0 9.65 16.37 16.37 14.4 18.6 2.2 57.247 -342.941 45.5 -0.1 -0.1 -0.2
0BOR 14.7 17.6 -0.3 10.01 10.01 8.32 14.7 17.6 3.3 57.715 -347.109 220.0 0.0 0.0 -3.6
0BRA 13.3 17.5 10.0 5.11 6.16 6.16 12.9 17.5 10.6 64.348 -339.022 94.2 0.4 -0.0 -0.6
0BRO 13.8 18.9 6.3 7.73 7.73 7.73 13.8 18.8 6.3 59.513 -342.366 53.7 0.0 0.1 0.0
0BRU 14.8 17.7 3.9 6.39 7.69 7.69 14.5 17.6 4.2 57.730 -348.028 77.3 0.3 0.1 -0.3
0BST 14.8 18.0 1.3 13.89 13.89 13.89 14.7 18.0 1.2 56.428 -347.152 58.9 0.1 0.0 0.1
0BTT 14.0 18.2 3.1 6.17 6.17 6.17 14.2 18.4 3.4 57.773 -346.176 269.6 -0.2 -0.2 -0.3
0BUE 13.4 18.5 10.5 5.97 5.97 5.97 13.5 18.4 10.6 64.621 -338.796 44.7 -0.1 0.1 -0.1
0BUG 15.0 17.9 3.2 7.50 7.50 7.50 15.0 17.7 3.2 57.667 -347.594 202.4 -0.0 0.2 0.0
0BUR 14.3 17.4 9.2 19.19 14.54 19.19 14.2 17.4 9.4 64.517 -339.341 119.0 0.1 0.0 -0.2
0BYG 14.2 18.0 10.2 6.20 6.20 6.20 14.1 17.8 10.4 64.046 -339.137 46.5 0.1 0.2 -0.2
0CHA 14.2 16.3 6.5 14.88 15.88 15.88 14.3 16.1 6.6 59.883 -347.696 179.8 -0.1 0.2 -0.1
0DAJ 14.5 16.8 7.7 10.28 10.28 10.28 14.5 16.8 7.6 60.548 -345.629 277.8 -0.0 -0.0 0.1
0DAL 15.0 18.6 1.2 14.58 14.57 14.58 15.0 18.6 1.2 55.669 -346.649 128.6 0.0 -0.0 -0.0
0DAN 14.5 18.6 2.2 13.82 20.92 13.86 14.5 18.5 1.7 56.514 -344.847 177.0 -0.0 0.1 0.5
0DAV 13.9 17.9 10.4 6.03 6.03 6.03 13.9 17.7 10.4 63.870 -339.587 71.0 -0.0 0.2 0.0
0DEG 14.8 18.6 1.3 14.61 14.61 14.61 14.8 18.7 1.4 55.832 -345.912 80.6 0.0 -0.1 -0.1
0DIL 15.2 15.8 3.5 12.52 12.52 12.51 14.8 16.1 3.6 58.526 -348.422 64.6 0.4 -0.3 -0.1
0DOC 14.3 17.2 10.1 10.39 10.39 10.39 14.3 17.2 10.1 63.056 -341.668 55.4 -0.0 0.0 -0.0
0DOR 14.8 15.8 9.1 18.02 18.02 18.02 14.8 15.8 8.9 64.264 -343.584 365.2 -0.0 0.0 0.2
0EDA 15.4 16.2 5.3 11.24 11.24 11.24 15.2 16.2 5.3 59.632 -347.184 111.1 0.2 -0.0 0.0
0EDB 14.2 18.6 4.2 10.30 10.30 10.30 14.2 18.6 4.1 58.012 -343.523 78.7 0.0 0.0 0.1
0EDS 14.9 16.4 9.7 10.39 10.39 10.39 14.9 16.4 9.7 63.406 -343.459 205.5 -0.0 0.0 -0.0
0ED_ 15.3 16.6 5.0 11.81 11.81 11.81 15.2 16.6 4.7 58.909 -348.058 205.1 0.1 0.0 0.3
0EKB 15.0 18.4 1.6 7.61 7.61 7.61 14.9 18.3 1.5 56.004 -347.033 126.8 0.1 0.1 0.1
0EKE 14.6 18.6 1.3 14.35 20.92 20.92 14.4 18.7 1.3 56.266 -343.521 43.2 0.2 -0.1 -0.0
0ENS 13.9 18.5 5.3 10.20 10.20 10.20 13.9 18.5 5.2 58.768 -343.140 81.4 -0.0 0.0 0.1
0ENV 14.4 17.5 8.2 10.39 10.39 10.39 14.4 17.5 8.2 60.809 -344.233 190.9 -0.0 0.0 0.0
